INDEXID;DATE;SECID;WAPRICE;WEIGHT
MICEXINDEXCF;2001-02-02;YUKO;63.431;0.035
MICEXINDEXCF;2001-02-05;EESR;2.81;0.176
MICEXINDEXCF;2001-02-05;INUR;58;0.049
MICEXINDEXCF;2001-02-05;IRGZ;2.338;0.023
MICEXINDEXCF;2001-02-05;LKOH;276.417;0.468
MICEXINDEXCF;2001-02-05;MSNG;0.939;0.041
MICEXINDEXCF;2001-02-05;NKEL;248.406;0.079
MICEXINDEXCF;2001-02-05;RTKM;28.213;0.036
MICEXINDEXCF;2001-02-05;SAGO;0.41;0
MICEXINDEXCF;2001-02-05;SBER;722.673;0.013
MICEXINDEXCF;2001-02-05;SIBN;8.8;0.013
MICEXINDEXCF;2001-02-05;TATN;13.459;0.066
MICEXINDEXCF;2001-02-05;YUKO;63.389;0.035
MICEXINDEXCF;2001-02-06;EESR;2.884;0.177
MICEXINDEXCF;2001-02-06;INUR;58;0.048
MICEXINDEXCF;2001-02-06;IRGZ;2.338;0.022
MICEXINDEXCF;2001-02-06;LKOH;282.409;0.468
MICEXINDEXCF;2001-02-06;MSNG;0.989;0.043
MICEXINDEXCF;2001-02-06;NKEL;252.294;0.079
MICEXINDEXCF;2001-02-06;RTKM;29.307;0.036
MICEXINDEXCF;2001-02-06;SAGO;0.394;0
MICEXINDEXCF;2001-02-06;SBER;743.116;0.013
MICEXINDEXCF;2001-02-06;SIBN;8.8;0.013
MICEXINDEXCF;2001-02-06;TATN;13.456;0.065
MICEXINDEXCF;2001-02-06;YUKO;64.569;0.035
MICEXINDEXCF;2001-02-07;EESR;2.85;0.176
MICEXINDEXCF;2001-02-07;INUR;57;0.048
MICEXINDEXCF;2001-02-07;IRGZ;2.474;0.024
MICEXINDEXCF;2001-02-07;LKOH;278.509;0.466
MICEXINDEXCF;2001-02-07;MSNG;0.978;0.043
MICEXINDEXCF;2001-02-07;NKEL;248.573;0.078
MICEXINDEXCF;2001-02-07;RTKM;29.731;0.037
MICEXINDEXCF;2001-02-07;SAGO;0.41;0
MICEXINDEXCF;2001-02-07;SBER;732.786;0.013
MICEXINDEXCF;2001-02-07;SIBN;9;0.014
MICEXINDEXCF;2001-02-07;TATN;13.44;0.066
MICEXINDEXCF;2001-02-07;YUKO;63.982;0.035
MICEXINDEXCF;2001-02-08;EESR;2.915;0.177
MICEXINDEXCF;2001-02-08;INUR;57;0.047
MICEXINDEXCF;2001-02-08;IRGZ;2.42;0.023
MICEXINDEXCF;2001-02-08;LKOH;283.343;0.467
MICEXINDEXCF;2001-02-08;MSNG;1.001;0.043
MICEXINDEXCF;2001-02-08;NKEL;253.16;0.079
MICEXINDEXCF;2001-02-08;RTKM;29.817;0.037
MICEXINDEXCF;2001-02-08;SAGO;0.407;0
MICEXINDEXCF;2001-02-08;SBER;734.578;0.013
MICEXINDEXCF;2001-02-08;SIBN;8.99;0.013
MICEXINDEXCF;2001-02-08;TATN;13.844;0.066
MICEXINDEXCF;2001-02-08;YUKO;65.068;0.035
MICEXINDEXCF;2001-02-09;EESR;2.93;0.178
MICEXINDEXCF;2001-02-09;INUR;58;0.048
MICEXINDEXCF;2001-02-09;IRGZ;2.404;0.023
MICEXINDEXCF;2001-02-09;LKOH;282.458;0.465
MICEXINDEXCF;2001-02-09;MSNG;0.994;0.043
MICEXINDEXCF;2001-02-09;NKEL;252.808;0.078
MICEXINDEXCF;2001-02-09;RTKM;29.53;0.036
MICEXINDEXCF;2001-02-09;SAGO;0.476;0.001
MICEXINDEXCF;2001-02-09;SBER;721.752;0.013
MICEXINDEXCF;2001-02-09;SIBN;8.787;0.013
MICEXINDEXCF;2001-02-09;TATN;13.981;0.067
MICEXINDEXCF;2001-02-09;YUKO;65.233;0.035
MICEXINDEXCF;2001-02-12;EESR;2.906;0.177
MICEXINDEXCF;2001-02-12;INUR;57.012;0.047
MICEXINDEXCF;2001-02-12;IRGZ;2.374;0.022
MICEXINDEXCF;2001-02-12;LKOH;282.644;0.465
MICEXINDEXCF;2001-02-12;MSNG;0.993;0.043
MICEXINDEXCF;2001-02-12;NKEL;259.654;0.081
MICEXINDEXCF;2001-02-12;RTKM;29.574;0.036
MICEXINDEXCF;2001-02-12;SAGO;0.487;0.001
MICEXINDEXCF;2001-02-12;SBER;714.046;0.013
MICEXINDEXCF;2001-02-12;SIBN;9.057;0.013
MICEXINDEXCF;2001-02-12;TATN;14.057;0.067
MICEXINDEXCF;2001-02-12;YUKO;65.196;0.035
MICEXINDEXCF;2001-02-13;EESR;3.055;0.18
MICEXINDEXCF;2001-02-13;INUR;58;0.046
MICEXINDEXCF;2001-02-13;IRGZ;2.331;0.021
MICEXINDEXCF;2001-02-13;LKOH;289.412;0.462
MICEXINDEXCF;2001-02-13;MSNG;1.025;0.043
MICEXINDEXCF;2001-02-13;NKEL;268.543;0.081
MICEXINDEXCF;2001-02-13;RTKM;30.331;0.036
MICEXINDEXCF;2001-02-13;SAGO;0.54;0.001
MICEXINDEXCF;2001-02-13;SBER;727.401;0.012
MICEXINDEXCF;2001-02-13;SIBN;9.997;0.014
MICEXINDEXCF;2001-02-13;TATN;14.683;0.068
MICEXINDEXCF;2001-02-13;YUKO;66.285;0.035
MICEXINDEXCF;2001-02-14;EESR;3.119;0.181
MICEXINDEXCF;2001-02-14;INUR;58;0.045
MICEXINDEXCF;2001-02-14;IRGZ;2.397;0.021
MICEXINDEXCF;2001-02-14;LKOH;296.447;0.465
MICEXINDEXCF;2001-02-14;MSNG;1.051;0.043
MICEXINDEXCF;2001-02-14;NKEL;271.649;0.08
MICEXINDEXCF;2001-02-14;RTKM;30.374;0.036
MICEXINDEXCF;2001-02-14;SAGO;0.54;0.001
MICEXINDEXCF;2001-02-14;SBER;730.922;0.012
MICEXINDEXCF;2001-02-14;SIBN;10.05;0.014
MICEXINDEXCF;2001-02-14;TATN;14.657;0.067
MICEXINDEXCF;2001-02-14;YUKO;66.948;0.035
MICEXINDEXCF;2001-02-15;EESR;3.3;0.184
MICEXINDEXCF;2001-02-15;INUR;59.5;0.045
MICEXINDEXCF;2001-02-15;IRGZ;2.364;0.02
MICEXINDEXCF;2001-02-15;LKOH;307.085;0.463
MICEXINDEXCF;2001-02-15;MSNG;1.111;0.044
MICEXINDEXCF;2001-02-15;NKEL;282.578;0.08
MICEXINDEXCF;2001-02-15;RTKM;31.742;0.036
MICEXINDEXCF;2001-02-15;SAGO;0.54;0.001
MICEXINDEXCF;2001-02-15;SBER;759.339;0.012
MICEXINDEXCF;2001-02-15;SIBN;10.519;0.014
MICEXINDEXCF;2001-02-15;TATN;15.058;0.066
MICEXINDEXCF;2001-02-15;YUKO;69.875;0.035
MICEXINDEXCF;2001-02-16;EESR;3.354;0.188
